가게,주소,카테고리,리본개수,레드리본 선정,서울 2025 선정,라벨
맛이차이나,서울특별시 마포구 독막로 68 (상수동) 2층,일반중식,1,Y,Y,레드리본 선정 서울 2025 선정
우동가조쿠,서울특별시 성동구 왕십리로 215-1 (행당동),일식우동,1,N,Y,서울 2025 선정
헬카페로스터즈,서울특별시 용산구 보광로 76 (보광동),커피전문점,1,N,Y,서울 2025 선정
철철복집,서울특별시 중구 을지로3길 29 (다동),복,1,N,Y,서울 2025 선정
수정궁,서울특별시 도봉구 방학로 173 (방학동),"중국만두, 일반중식",1,Y,Y,레드리본 선정 서울 2025 선정
페트라,서울특별시 용산구 녹사평대로40길 33 (이태원동) 2층,"중동식, 요르단식, 시리아식",1,Y,Y,레드리본 선정 서울 2025 선정
능라밥상,서울특별시 종로구 사직로2길 14 (행촌동) 권율장군집터,"이북음식, 평양냉면",1,Y,Y,레드리본 선정 서울 2025 선정
산띠,서울특별시 마포구 와우산로27길 70 (서교동) 2층,"인도식, 네팔식",1,Y,Y,레드리본 선정 서울 2025 선정
서촌계단집,서울특별시 종로구 자하문로1길 15 (내자동),"해물포차, 한식주점",1,N,Y,서울 2025 선정
베이커리봉교,서울특별시 마포구 성미산로 25 (성산동),베이커리,1,N,Y,서울 2025 선정
최사장네닭,서울특별시 마포구 연남로 4-1 (연남동),"닭곰탕, 닭볶음탕, 닭수육",1,Y,Y,레드리본 선정 서울 2025 선정
마마수제만두,서울특별시 은평구 증산로 397 (신사동),"중국만두, 일반중식",1,Y,Y,레드리본 선정 서울 2025 선정
남해바다마차,서울특별시 성북구 한천로78길 71 (석관동) 선우빌딩,생선회,1,N,Y,서울 2025 선정
츄리츄리,서울특별시 마포구 독막로15길 3-13 (상수동) 2층,이탈리아식,1,Y,Y,레드리본 선정 서울 2025 선정
구스토타코,서울특별시 마포구 와우산로 41 (상수동),멕시코식,1,Y,Y,레드리본 선정 서울 2025 선정
역전회관,서울특별시 마포구 토정로37길 47 (염리동),"소불고기, 낙지, 선지해장국",1,N,Y,서울 2025 선정
용문집,서울특별시 성동구 살곶이길 18 (마장동),"육사시미, 소고기구이",1,Y,Y,레드리본 선정 서울 2025 선정
청송함흥냉면,서울특별시 서대문구 연희맛로 6 (연희동) 에스빌딩,함흥냉면,1,N,Y,서울 2025 선정
두오모,서울특별시 종로구 자하문로16길 5 (효자동),"파스타, 이탈리아식",1,Y,Y,레드리본 선정 서울 2025 선정
잼배옥,서울특별시 중구 세종대로9길 68-9 (서소문동),"설렁탕, 수육",1,N,Y,서울 2025 선정
우리밀국시,서울특별시 성북구 혜화로 84-2 (성북동),칼국수,1,N,Y,서울 2025 선정
오리지널시카고피자,서울특별시 마포구 독막로7길 51 (서교동) 3층,미국식피자,1,Y,Y,레드리본 선정 서울 2025 선정
제일콩집,서울특별시 노원구 동일로174길 37-8 (공릉동) 제일빌딩,콩국수,1,Y,Y,레드리본 선정 서울 2025 선정
